particulas/s,N,opt,compiler,runs
502.952,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
512.042,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
517.974,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
520.115,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
514.074,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
511.674,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
508.612,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
509.924,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
515.030,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
509.690,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
512.099,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
513.861,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
509.865,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
515.175,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
515.605,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
511.988,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
514.411,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
517.124,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
519.717,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
528.554,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
521.577,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
527.179,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
528.175,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
513.355,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
522.487,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
525.233,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
522.850,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
515.574,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
530.001,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
516.370,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
203.559,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
182.644,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
180.767,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
182.309,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
180.773,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
179.938,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
186.973,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
183.991,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
184.794,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
186.673,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
186.051,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
183.917,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
181.294,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
181.031,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
183.632,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
179.946,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
181.455,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
179.550,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
189.226,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
188.149,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
187.449,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
188.699,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
188.535,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
196.119,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
193.840,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
75.167,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.242,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
79.058,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.568,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.778,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
74.172,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
75.311,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
74.839,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.613,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
74.001,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
74.307,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
75.274,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
75.546,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
75.197,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
72.989,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
75.708,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
73.342,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.282,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
74.840,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.920,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
46.158,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.977,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
