particulas/s,N,opt,compiler,runs
499.737,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
504.341,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
507.105,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
505.045,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
491.181,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
498.219,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
503.086,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
492.804,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
444.074,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
488.548,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
493.096,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
457.624,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
470.047,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
451.876,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
499.693,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
499.407,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
496.512,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
440.990,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
444.554,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
485.467,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
391.537,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
437.935,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
450.453,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
480.753,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
496.844,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
499.613,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
461.923,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
437.119,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
435.953,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
493.373,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
217.727,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
192.575,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
203.258,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
204.741,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
190.023,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
198.631,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
186.272,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
191.376,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
182.770,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
182.078,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
192.815,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
195.281,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
180.729,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
229.457,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
214.265,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
218.073,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
229.183,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
231.288,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
229.839,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
216.839,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
215.706,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
227.585,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
217.609,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
216.695,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
215.464,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
80.410,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
83.120,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
87.484,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
87.291,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
82.121,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
87.302,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
82.861,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
82.971,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
82.832,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
80.263,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
82.333,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
81.879,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
88.093,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
81.125,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
89.435,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
83.907,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
78.264,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
81.953,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
87.562,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
84.677,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
54.478,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
52.831,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
