particulas/s,N,opt,compiler,runs
533.038,4,-Ofast,icc,30
537.042,4,-Ofast,icc,30
531.345,4,-Ofast,icc,30
533.054,4,-Ofast,icc,30
546.933,4,-Ofast,icc,30
538.619,4,-Ofast,icc,30
545.428,4,-Ofast,icc,30
521.275,4,-Ofast,icc,30
529.621,4,-Ofast,icc,30
533.610,4,-Ofast,icc,30
528.601,4,-Ofast,icc,30
528.634,4,-Ofast,icc,30
528.795,4,-Ofast,icc,30
527.582,4,-Ofast,icc,30
523.895,4,-Ofast,icc,30
528.847,4,-Ofast,icc,30
524.102,4,-Ofast,icc,30
542.333,4,-Ofast,icc,30
528.053,4,-Ofast,icc,30
528.618,4,-Ofast,icc,30
526.570,4,-Ofast,icc,30
527.025,4,-Ofast,icc,30
527.289,4,-Ofast,icc,30
528.136,4,-Ofast,icc,30
528.477,4,-Ofast,icc,30
528.543,4,-Ofast,icc,30
529.158,4,-Ofast,icc,30
536.137,4,-Ofast,icc,30
526.536,4,-Ofast,icc,30
527.605,4,-Ofast,icc,30
164.234,32,-Ofast,icc,25
163.994,32,-Ofast,icc,25
159.349,32,-Ofast,icc,25
163.655,32,-Ofast,icc,25
164.929,32,-Ofast,icc,25
165.006,32,-Ofast,icc,25
165.307,32,-Ofast,icc,25
165.122,32,-Ofast,icc,25
165.166,32,-Ofast,icc,25
164.989,32,-Ofast,icc,25
164.085,32,-Ofast,icc,25
164.570,32,-Ofast,icc,25
164.935,32,-Ofast,icc,25
160.816,32,-Ofast,icc,25
163.699,32,-Ofast,icc,25
165.363,32,-Ofast,icc,25
165.531,32,-Ofast,icc,25
165.282,32,-Ofast,icc,25
164.778,32,-Ofast,icc,25
164.282,32,-Ofast,icc,25
164.728,32,-Ofast,icc,25
164.602,32,-Ofast,icc,25
164.651,32,-Ofast,icc,25
164.572,32,-Ofast,icc,25
163.263,32,-Ofast,icc,25
64.874,108,-Ofast,icc,20
64.753,108,-Ofast,icc,20
64.818,108,-Ofast,icc,20
64.947,108,-Ofast,icc,20
64.756,108,-Ofast,icc,20
64.515,108,-Ofast,icc,20
64.713,108,-Ofast,icc,20
64.793,108,-Ofast,icc,20
64.871,108,-Ofast,icc,20
