particulas/s,N,opt,compiler,runs
186.880,4,-O0,gcc,20
253.286,4,-O0,gcc,20
227.399,4,-O0,gcc,20
191.015,4,-O0,gcc,20
185.425,4,-O0,gcc,20
199.618,4,-O0,gcc,20
176.304,4,-O0,gcc,20
204.980,4,-O0,gcc,20
242.577,4,-O0,gcc,20
217.263,4,-O0,gcc,20
237.368,4,-O0,gcc,20
238.525,4,-O0,gcc,20
252.563,4,-O0,gcc,20
262.905,4,-O0,gcc,20
260.907,4,-O0,gcc,20
169.958,4,-O0,gcc,20
202.401,4,-O0,gcc,20
206.147,4,-O0,gcc,20
186.368,4,-O0,gcc,20
219.173,4,-O0,gcc,20
52.585,32,-O0,gcc,15
71.614,32,-O0,gcc,15
72.104,32,-O0,gcc,15
72.710,32,-O0,gcc,15
72.565,32,-O0,gcc,15
72.694,32,-O0,gcc,15
72.726,32,-O0,gcc,15
72.917,32,-O0,gcc,15
72.781,32,-O0,gcc,15
72.614,32,-O0,gcc,15
72.724,32,-O0,gcc,15
72.447,32,-O0,gcc,15
72.644,32,-O0,gcc,15
72.666,32,-O0,gcc,15
72.529,32,-O0,gcc,15
30.061,108,-O0,gcc,10
30.007,108,-O0,gcc,10
29.918,108,-O0,gcc,10
30.005,108,-O0,gcc,10
30.057,108,-O0,gcc,10
30.054,108,-O0,gcc,10
30.038,108,-O0,gcc,10
29.914,108,-O0,gcc,10
29.929,108,-O0,gcc,10
29.923,108,-O0,gcc,10
13.135,256,-O0,gcc,5
13.078,256,-O0,gcc,5
13.188,256,-O0,gcc,5
13.162,256,-O0,gcc,5
13.306,256,-O0,gcc,5
7.557,500,-O0,gcc,2
7.574,500,-O0,gcc,2
576.857,4,-O1,gcc,20
615.934,4,-O1,gcc,20
605.095,4,-O1,gcc,20
605.210,4,-O1,gcc,20
619.437,4,-O1,gcc,20
614.872,4,-O1,gcc,20
608.179,4,-O1,gcc,20
606.788,4,-O1,gcc,20
597.204,4,-O1,gcc,20
615.126,4,-O1,gcc,20
609.627,4,-O1,gcc,20
621.464,4,-O1,gcc,20
618.706,4,-O1,gcc,20
616.217,4,-O1,gcc,20
620.908,4,-O1,gcc,20
595.388,4,-O1,gcc,20
613.696,4,-O1,gcc,20
619.488,4,-O1,gcc,20
620.926,4,-O1,gcc,20
608.714,4,-O1,gcc,20
254.631,32,-O1,gcc,15
253.501,32,-O1,gcc,15
253.695,32,-O1,gcc,15
253.704,32,-O1,gcc,15
254.671,32,-O1,gcc,15
254.773,32,-O1,gcc,15
254.661,32,-O1,gcc,15
254.782,32,-O1,gcc,15
254.512,32,-O1,gcc,15
254.558,32,-O1,gcc,15
254.676,32,-O1,gcc,15
228.972,32,-O1,gcc,15
254.400,32,-O1,gcc,15
254.133,32,-O1,gcc,15
254.234,32,-O1,gcc,15
