particulas/s,N,opt,compiler,runs
317.565,4,-O0,gcc,20
326.459,4,-O0,gcc,20
318.384,4,-O0,gcc,20
324.979,4,-O0,gcc,20
326.094,4,-O0,gcc,20
324.763,4,-O0,gcc,20
327.802,4,-O0,gcc,20
328.993,4,-O0,gcc,20
327.255,4,-O0,gcc,20
328.094,4,-O0,gcc,20
327.528,4,-O0,gcc,20
317.528,4,-O0,gcc,20
318.749,4,-O0,gcc,20
329.909,4,-O0,gcc,20
326.366,4,-O0,gcc,20
330.407,4,-O0,gcc,20
328.756,4,-O0,gcc,20
327.532,4,-O0,gcc,20
333.283,4,-O0,gcc,20
326.013,4,-O0,gcc,20
76.377,32,-O0,gcc,15
76.805,32,-O0,gcc,15
77.419,32,-O0,gcc,15
77.031,32,-O0,gcc,15
78.128,32,-O0,gcc,15
77.003,32,-O0,gcc,15
77.230,32,-O0,gcc,15
77.339,32,-O0,gcc,15
77.882,32,-O0,gcc,15
78.137,32,-O0,gcc,15
77.155,32,-O0,gcc,15
78.217,32,-O0,gcc,15
76.621,32,-O0,gcc,15
76.923,32,-O0,gcc,15
78.184,32,-O0,gcc,15
31.982,108,-O0,gcc,10
32.074,108,-O0,gcc,10
32.286,108,-O0,gcc,10
32.129,108,-O0,gcc,10
32.008,108,-O0,gcc,10
32.365,108,-O0,gcc,10
32.348,108,-O0,gcc,10
32.310,108,-O0,gcc,10
32.456,108,-O0,gcc,10
32.427,108,-O0,gcc,10
14.506,256,-O0,gcc,5
14.199,256,-O0,gcc,5
14.381,256,-O0,gcc,5
14.347,256,-O0,gcc,5
14.418,256,-O0,gcc,5
8.242,500,-O0,gcc,2
8.189,500,-O0,gcc,2
638.929,4,-O1,gcc,20
668.919,4,-O1,gcc,20
676.975,4,-O1,gcc,20
661.567,4,-O1,gcc,20
676.613,4,-O1,gcc,20
657.556,4,-O1,gcc,20
685.803,4,-O1,gcc,20
683.942,4,-O1,gcc,20
675.877,4,-O1,gcc,20
669.577,4,-O1,gcc,20
667.220,4,-O1,gcc,20
689.616,4,-O1,gcc,20
678.020,4,-O1,gcc,20
670.865,4,-O1,gcc,20
675.055,4,-O1,gcc,20
685.432,4,-O1,gcc,20
