particulas/s,N,opt,compiler,runs
515.469,4,-Ofast,icc,30
539.358,4,-Ofast,icc,30
527.745,4,-Ofast,icc,30
538.530,4,-Ofast,icc,30
532.734,4,-Ofast,icc,30
535.213,4,-Ofast,icc,30
529.178,4,-Ofast,icc,30
533.015,4,-Ofast,icc,30
532.269,4,-Ofast,icc,30
530.199,4,-Ofast,icc,30
529.125,4,-Ofast,icc,30
518.611,4,-Ofast,icc,30
513.136,4,-Ofast,icc,30
536.467,4,-Ofast,icc,30
536.501,4,-Ofast,icc,30
543.390,4,-Ofast,icc,30
537.419,4,-Ofast,icc,30
535.401,4,-Ofast,icc,30
529.507,4,-Ofast,icc,30
535.580,4,-Ofast,icc,30
528.768,4,-Ofast,icc,30
540.904,4,-Ofast,icc,30
537.941,4,-Ofast,icc,30
532.217,4,-Ofast,icc,30
524.168,4,-Ofast,icc,30
536.373,4,-Ofast,icc,30
533.945,4,-Ofast,icc,30
528.879,4,-Ofast,icc,30
534.244,4,-Ofast,icc,30
533.299,4,-Ofast,icc,30
161.342,32,-Ofast,icc,25
163.359,32,-Ofast,icc,25
161.269,32,-Ofast,icc,25
164.913,32,-Ofast,icc,25
162.737,32,-Ofast,icc,25
165.116,32,-Ofast,icc,25
163.213,32,-Ofast,icc,25
165.302,32,-Ofast,icc,25
162.035,32,-Ofast,icc,25
163.530,32,-Ofast,icc,25
161.423,32,-Ofast,icc,25
165.509,32,-Ofast,icc,25
163.194,32,-Ofast,icc,25
161.126,32,-Ofast,icc,25
162.764,32,-Ofast,icc,25
165.393,32,-Ofast,icc,25
161.775,32,-Ofast,icc,25
164.041,32,-Ofast,icc,25
165.655,32,-Ofast,icc,25
163.707,32,-Ofast,icc,25
165.643,32,-Ofast,icc,25
162.686,32,-Ofast,icc,25
164.946,32,-Ofast,icc,25
163.762,32,-Ofast,icc,25
160.483,32,-Ofast,icc,25
65.677,108,-Ofast,icc,20
65.528,108,-Ofast,icc,20
64.310,108,-Ofast,icc,20
64.888,108,-Ofast,icc,20
65.056,108,-Ofast,icc,20
65.417,108,-Ofast,icc,20
64.699,108,-Ofast,icc,20
65.280,108,-Ofast,icc,20
64.461,108,-Ofast,icc,20
64.797,108,-Ofast,icc,20
65.355,108,-Ofast,icc,20
64.754,108,-Ofast,icc,20
65.432,108,-Ofast,icc,20
64.645,108,-Ofast,icc,20
65.539,108,-Ofast,icc,20
64.856,108,-Ofast,icc,20
65.306,108,-Ofast,icc,20
64.575,108,-Ofast,icc,20
65.494,108,-Ofast,icc,20
64.203,108,-Ofast,icc,20
27.450,256,-Ofast,icc,15
26.640,256,-Ofast,icc,15
27.096,256,-Ofast,icc,15
26.856,256,-Ofast,icc,15
27.183,256,-Ofast,icc,15
26.947,256,-Ofast,icc,15
26.945,256,-Ofast,icc,15
26.987,256,-Ofast,icc,15
27.345,256,-Ofast,icc,15
26.992,256,-Ofast,icc,15
27.193,256,-Ofast,icc,15
26.693,256,-Ofast,icc,15
26.915,256,-Ofast,icc,15
27.154,256,-Ofast,icc,15
26.723,256,-Ofast,icc,15
15.183,500,-Ofast,icc,10
15.469,500,-Ofast,icc,10
15.269,500,-Ofast,icc,10
15.261,500,-Ofast,icc,10
15.476,500,-Ofast,icc,10
15.339,500,-Ofast,icc,10
15.447,500,-Ofast,icc,10
15.434,500,-Ofast,icc,10
15.375,500,-Ofast,icc,10
15.361,500,-Ofast,icc,10
9.743,864,-Ofast,icc,5
9.662,864,-Ofast,icc,5
9.911,864,-Ofast,icc,5
9.766,864,-Ofast,icc,5
9.826,864,-Ofast,icc,5
715.498,4,-Ofast,clang,30
742.118,4,-Ofast,clang,30
746.289,4,-Ofast,clang,30
745.295,4,-Ofast,clang,30
740.183,4,-Ofast,clang,30
749.328,4,-Ofast,clang,30
751.529,4,-Ofast,clang,30
751.960,4,-Ofast,clang,30
