particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
211.436,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,309574059150,6.493,2129118556,423590
213.108,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,309646999335,6.443,2024722220,378501
212.993,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,309982951428,6.447,1999063632,372360
215.718,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,309832400181,6.366,1956008692,363355
212.268,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,309633523440,6.469,1996610565,736284
200.165,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,662280287824,10.236,3977423905,926585
200.009,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,661567229986,10.245,4069593703,939025
199.689,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,662090109840,10.262,4216335412,909601
199.685,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,661695315392,10.262,4050700752,1142378
200.200,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,661473029225,10.236,4235563770,933940
181.663,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,1305968368309,16.057,13938895477,731275
183.149,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,1304569902680,15.928,13303886686,1150949
182.209,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,1303503774959,16.011,13432764912,657978
182.457,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,1307508755084,15.989,13365423675,743489
182.041,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,35,1308225865139,16.026,13277524799,700383
394.487,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,35,274946196419,3.482,1386236495,453798
