particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
10.504,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9674713,0.384,12543583,15838
17.797,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9800336,0.227,33491465,8401
10.462,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,10076618,0.385,12314009,15466
11.187,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9889206,0.360,11086901,16503
15.864,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9733826,0.255,11250170,9007
11.287,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9801901,0.357,22395532,12010
11.793,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9612696,0.342,12772275,15278
15.681,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9892030,0.258,10599423,8828
11.235,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,10030118,0.359,12195980,13479
11.243,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9841819,0.358,11977855,11602
11.160,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9683116,0.361,12375164,13624
10.896,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,10033915,0.370,11540767,8212
11.410,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9773436,0.353,17016380,12479
11.477,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9983579,0.351,28323215,13207
11.568,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,10055495,0.348,11396787,19863
11.330,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,20,9611961,0.356,12251933,17773
