particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
405.197,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7934631,0.012,139379,842
405.322,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8491981,0.011,90068,652
401.074,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,1283968,0.011,87518,661
404.778,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5553151,0.011,89310,731
400.375,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5142478,0.011,117098,539
401.917,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5506732,0.012,86959,694
397.513,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8834857,0.011,88208,560
407.189,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7844032,0.011,87783,909
404.926,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,4038408,0.011,88403,527
406.807,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8305081,0.011,87756,406
399.385,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,96418,616
407.332,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8295752,0.011,86246,823
409.184,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5601002,0.011,88206,604
405.390,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8324659,0.011,87071,485
407.901,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8868080,0.011,88906,524
403.067,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.011,87351,649
403.120,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8694180,0.011,89602,518
411.633,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8838225,0.011,91500,596
408.193,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7589757,0.011,88735,695
409.007,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8581348,0.011,90345,405
411.761,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,6893727,0.011,88671,667
395.406,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5234064,0.012,89859,515
409.541,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8804619,0.011,89869,524
225.210,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,9027837,0.019,89074,586
400.216,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,588909,0.011,87045,693
411.142,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8605595,0.011,91051,396
410.785,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,6993820,0.011,88557,641
409.673,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5013198,0.011,89789,696
400.771,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8811644,0.011,86862,521
403.892,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5281473,0.011,90220,661
102.154,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25,655509897,0.315,598558,4633
102.215,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25,655120661,0.314,499305,3886
