particulas/s,N,opt,compiler,runs
358.577,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
440.724,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
438.527,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
417.465,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
433.270,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
438.477,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
366.781,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
426.174,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
373.060,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
433.190,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
339.141,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
436.280,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
367.615,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
345.650,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
383.041,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
432.844,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
422.916,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
425.546,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
432.329,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
419.502,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
362.512,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
398.021,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
411.744,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
429.241,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
444.582,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
415.973,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
429.284,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
433.508,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
431.268,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
436.239,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
155.921,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
153.699,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
155.817,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
154.397,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
151.673,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
152.791,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
149.590,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
151.783,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
152.035,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
141.923,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
141.743,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
141.564,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
141.194,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
151.436,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
150.388,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
150.833,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
150.235,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
149.912,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
140.842,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
141.508,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
140.130,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
141.158,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
133.568,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
132.921,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
134.066,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
55.816,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
59.409,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.177,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.394,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.362,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
59.004,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.106,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.577,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.868,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.540,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.033,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.639,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
59.894,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
54.924,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.703,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.415,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.017,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.527,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
55.742,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.961,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
37.758,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
38.294,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
38.475,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
