particulas/s,N,opt,compiler,runs
439.290,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
449.804,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
457.135,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
453.390,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
464.076,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
466.476,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
463.170,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
448.684,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
466.030,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
456.695,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
454.239,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
459.316,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
464.209,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
466.870,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
447.912,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
450.189,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
453.108,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
450.157,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
452.855,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
457.611,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
461.915,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
454.986,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
455.309,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
446.810,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
453.079,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
453.510,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
466.854,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
465.892,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
459.909,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
454.486,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30
140.991,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
157.446,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
157.401,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
155.728,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
156.883,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
157.764,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
153.556,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
154.081,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
153.759,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
152.482,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
153.451,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
149.809,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
149.082,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
149.197,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
83.564,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
152.046,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
151.883,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
151.806,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
151.866,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
148.497,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
146.767,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
148.333,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
148.391,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
147.026,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
142.944,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25
57.934,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.358,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.300,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.413,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
59.044,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.221,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.195,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.850,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
55.485,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.604,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.059,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
54.032,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.367,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.638,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
59.752,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.141,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
58.261,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.285,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
57.041,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
56.500,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
