particulas/s,N,opt,compiler,runs
326.816,4,-O0,gcc,20
328.226,4,-O0,gcc,20
327.769,4,-O0,gcc,20
322.085,4,-O0,gcc,20
322.785,4,-O0,gcc,20
321.043,4,-O0,gcc,20
320.112,4,-O0,gcc,20
323.554,4,-O0,gcc,20
319.600,4,-O0,gcc,20
322.010,4,-O0,gcc,20
322.548,4,-O0,gcc,20
323.635,4,-O0,gcc,20
323.446,4,-O0,gcc,20
323.274,4,-O0,gcc,20
321.473,4,-O0,gcc,20
306.237,4,-O0,gcc,20
323.012,4,-O0,gcc,20
323.769,4,-O0,gcc,20
322.565,4,-O0,gcc,20
319.575,4,-O0,gcc,20
76.897,32,-O0,gcc,15
76.376,32,-O0,gcc,15
76.976,32,-O0,gcc,15
76.867,32,-O0,gcc,15
77.214,32,-O0,gcc,15
77.279,32,-O0,gcc,15
76.500,32,-O0,gcc,15
76.837,32,-O0,gcc,15
76.850,32,-O0,gcc,15
76.853,32,-O0,gcc,15
76.713,32,-O0,gcc,15
75.885,32,-O0,gcc,15
76.968,32,-O0,gcc,15
76.875,32,-O0,gcc,15
76.826,32,-O0,gcc,15
32.282,108,-O0,gcc,10
32.275,108,-O0,gcc,10
32.251,108,-O0,gcc,10
32.210,108,-O0,gcc,10
32.334,108,-O0,gcc,10
32.218,108,-O0,gcc,10
32.249,108,-O0,gcc,10
32.316,108,-O0,gcc,10
32.256,108,-O0,gcc,10
32.333,108,-O0,gcc,10
14.200,256,-O0,gcc,5
14.225,256,-O0,gcc,5
14.378,256,-O0,gcc,5
14.387,256,-O0,gcc,5
14.387,256,-O0,gcc,5
8.189,500,-O0,gcc,2
8.218,500,-O0,gcc,2
628.218,4,-O1,gcc,20
643.925,4,-O1,gcc,20
633.008,4,-O1,gcc,20
647.443,4,-O1,gcc,20
649.568,4,-O1,gcc,20
643.360,4,-O1,gcc,20
647.335,4,-O1,gcc,20
641.122,4,-O1,gcc,20
645.076,4,-O1,gcc,20
644.224,4,-O1,gcc,20
644.520,4,-O1,gcc,20
651.066,4,-O1,gcc,20
642.419,4,-O1,gcc,20
642.001,4,-O1,gcc,20
640.801,4,-O1,gcc,20
647.204,4,-O1,gcc,20
650.620,4,-O1,gcc,20
646.904,4,-O1,gcc,20
641.917,4,-O1,gcc,20
625.480,4,-O1,gcc,20
272.520,32,-O1,gcc,15
274.001,32,-O1,gcc,15
273.073,32,-O1,gcc,15
274.091,32,-O1,gcc,15
275.066,32,-O1,gcc,15
267.687,32,-O1,gcc,15
272.715,32,-O1,gcc,15
274.568,32,-O1,gcc,15
267.092,32,-O1,gcc,15
275.675,32,-O1,gcc,15
274.102,32,-O1,gcc,15
271.288,32,-O1,gcc,15
276.996,32,-O1,gcc,15
278.267,32,-O1,gcc,15
278.834,32,-O1,gcc,15
89.734,108,-O1,gcc,10
90.879,108,-O1,gcc,10
90.665,108,-O1,gcc,10
90.758,108,-O1,gcc,10
89.918,108,-O1,gcc,10
90.367,108,-O1,gcc,10
90.507,108,-O1,gcc,10
88.866,108,-O1,gcc,10
89.224,108,-O1,gcc,10
90.052,108,-O1,gcc,10
31.564,256,-O1,gcc,5
31.740,256,-O1,gcc,5
31.542,256,-O1,gcc,5
31.467,256,-O1,gcc,5
31.671,256,-O1,gcc,5
16.972,500,-O1,gcc,2
17.140,500,-O1,gcc,2
686.499,4,-O2,gcc,20
687.039,4,-O2,gcc,20
694.327,4,-O2,gcc,20
682.983,4,-O2,gcc,20
696.534,4,-O2,gcc,20
692.770,4,-O2,gcc,20
693.071,4,-O2,gcc,20
695.289,4,-O2,gcc,20
697.257,4,-O2,gcc,20
694.532,4,-O2,gcc,20
697.834,4,-O2,gcc,20
691.810,4,-O2,gcc,20
690.873,4,-O2,gcc,20
688.917,4,-O2,gcc,20
689.981,4,-O2,gcc,20
685.582,4,-O2,gcc,20
682.506,4,-O2,gcc,20
691.752,4,-O2,gcc,20
693.086,4,-O2,gcc,20
678.196,4,-O2,gcc,20
369.838,32,-O2,gcc,15
369.672,32,-O2,gcc,15
370.378,32,-O2,gcc,15
370.998,32,-O2,gcc,15
368.178,32,-O2,gcc,15
363.248,32,-O2,gcc,15
361.446,32,-O2,gcc,15
365.791,32,-O2,gcc,15
367.454,32,-O2,gcc,15
370.240,32,-O2,gcc,15
374.437,32,-O2,gcc,15
375.209,32,-O2,gcc,15
372.438,32,-O2,gcc,15
370.600,32,-O2,gcc,15
372.127,32,-O2,gcc,15
141.637,108,-O2,gcc,10
140.051,108,-O2,gcc,10
139.864,108,-O2,gcc,10
141.873,108,-O2,gcc,10
142.392,108,-O2,gcc,10
139.523,108,-O2,gcc,10
141.110,108,-O2,gcc,10
140.455,108,-O2,gcc,10
142.194,108,-O2,gcc,10
142.439,108,-O2,gcc,10
41.219,256,-O2,gcc,5
41.137,256,-O2,gcc,5
41.498,256,-O2,gcc,5
41.734,256,-O2,gcc,5
41.673,256,-O2,gcc,5
22.370,500,-O2,gcc,2
22.293,500,-O2,gcc,2
679.853,4,-O3,gcc,20
692.354,4,-O3,gcc,20
688.047,4,-O3,gcc,20
694.793,4,-O3,gcc,20
696.399,4,-O3,gcc,20
695.709,4,-O3,gcc,20
692.408,4,-O3,gcc,20
696.740,4,-O3,gcc,20
658.067,4,-O3,gcc,20
672.720,4,-O3,gcc,20
690.901,4,-O3,gcc,20
686.323,4,-O3,gcc,20
691.665,4,-O3,gcc,20
687.396,4,-O3,gcc,20
685.812,4,-O3,gcc,20
683.438,4,-O3,gcc,20
685.913,4,-O3,gcc,20
694.119,4,-O3,gcc,20
686.490,4,-O3,gcc,20
689.894,4,-O3,gcc,20
373.852,32,-O3,gcc,15
375.471,32,-O3,gcc,15
377.267,32,-O3,gcc,15
378.422,32,-O3,gcc,15
375.176,32,-O3,gcc,15
376.995,32,-O3,gcc,15
369.248,32,-O3,gcc,15
370.903,32,-O3,gcc,15
369.748,32,-O3,gcc,15
376.681,32,-O3,gcc,15
374.059,32,-O3,gcc,15
370.261,32,-O3,gcc,15
371.134,32,-O3,gcc,15
375.163,32,-O3,gcc,15
376.015,32,-O3,gcc,15
145.659,108,-O3,gcc,10
145.438,108,-O3,gcc,10
146.696,108,-O3,gcc,10
146.359,108,-O3,gcc,10
144.377,108,-O3,gcc,10
142.165,108,-O3,gcc,10
144.953,108,-O3,gcc,10
144.286,108,-O3,gcc,10
145.081,108,-O3,gcc,10
145.566,108,-O3,gcc,10
41.361,256,-O3,gcc,5
41.392,256,-O3,gcc,5
41.494,256,-O3,gcc,5
40.956,256,-O3,gcc,5
41.948,256,-O3,gcc,5
22.445,500,-O3,gcc,2
22.406,500,-O3,gcc,2
671.176,4,-Ofast,gcc,20
706.909,4,-Ofast,gcc,20
695.286,4,-Ofast,gcc,20
704.917,4,-Ofast,gcc,20
686.675,4,-Ofast,gcc,20
706.550,4,-Ofast,gcc,20
701.919,4,-Ofast,gcc,20
704.832,4,-Ofast,gcc,20
702.561,4,-Ofast,gcc,20
702.237,4,-Ofast,gcc,20
694.454,4,-Ofast,gcc,20
700.532,4,-Ofast,gcc,20
696.889,4,-Ofast,gcc,20
700.665,4,-Ofast,gcc,20
702.731,4,-Ofast,gcc,20
694.112,4,-Ofast,gcc,20
690.629,4,-Ofast,gcc,20
705.246,4,-Ofast,gcc,20
704.420,4,-Ofast,gcc,20
702.369,4,-Ofast,gcc,20
371.830,32,-Ofast,gcc,15
372.840,32,-Ofast,gcc,15
369.125,32,-Ofast,gcc,15
371.473,32,-Ofast,gcc,15
372.827,32,-Ofast,gcc,15
373.425,32,-Ofast,gcc,15
374.282,32,-Ofast,gcc,15
371.179,32,-Ofast,gcc,15
372.274,32,-Ofast,gcc,15
372.901,32,-Ofast,gcc,15
370.943,32,-Ofast,gcc,15
370.730,32,-Ofast,gcc,15
366.934,32,-Ofast,gcc,15
366.141,32,-Ofast,gcc,15
371.746,32,-Ofast,gcc,15
139.303,108,-Ofast,gcc,10
141.414,108,-Ofast,gcc,10
140.225,108,-Ofast,gcc,10
140.779,108,-Ofast,gcc,10
139.929,108,-Ofast,gcc,10
140.600,108,-Ofast,gcc,10
138.413,108,-Ofast,gcc,10
140.369,108,-Ofast,gcc,10
139.500,108,-Ofast,gcc,10
141.271,108,-Ofast,gcc,10
41.554,256,-Ofast,gcc,5
41.001,256,-Ofast,gcc,5
42.426,256,-Ofast,gcc,5
42.030,256,-Ofast,gcc,5
41.744,256,-Ofast,gcc,5
23.278,500,-Ofast,gcc,2
23.061,500,-Ofast,gcc,2
292.324,4,-O0,clang,20
292.591,4,-O0,clang,20
291.275,4,-O0,clang,20
291.663,4,-O0,clang,20
292.370,4,-O0,clang,20
293.926,4,-O0,clang,20
294.028,4,-O0,clang,20
293.770,4,-O0,clang,20
283.873,4,-O0,clang,20
293.050,4,-O0,clang,20
291.715,4,-O0,clang,20
291.457,4,-O0,clang,20
292.191,4,-O0,clang,20
293.050,4,-O0,clang,20
292.992,4,-O0,clang,20
292.693,4,-O0,clang,20
292.396,4,-O0,clang,20
291.690,4,-O0,clang,20
291.838,4,-O0,clang,20
291.302,4,-O0,clang,20
60.847,32,-O0,clang,15
60.810,32,-O0,clang,15
60.588,32,-O0,clang,15
60.798,32,-O0,clang,15
60.794,32,-O0,clang,15
60.635,32,-O0,clang,15
60.432,32,-O0,clang,15
60.984,32,-O0,clang,15
60.793,32,-O0,clang,15
59.828,32,-O0,clang,15
60.333,32,-O0,clang,15
60.849,32,-O0,clang,15
60.861,32,-O0,clang,15
60.871,32,-O0,clang,15
60.429,32,-O0,clang,15
27.493,108,-O0,clang,10
27.494,108,-O0,clang,10
27.534,108,-O0,clang,10
27.516,108,-O0,clang,10
27.427,108,-O0,clang,10
27.498,108,-O0,clang,10
27.528,108,-O0,clang,10
27.541,108,-O0,clang,10
27.529,108,-O0,clang,10
27.592,108,-O0,clang,10
13.627,256,-O0,clang,5
13.565,256,-O0,clang,5
13.474,256,-O0,clang,5
13.484,256,-O0,clang,5
13.511,256,-O0,clang,5
8.052,500,-O0,clang,2
8.027,500,-O0,clang,2
648.509,4,-O1,clang,20
692.988,4,-O1,clang,20
697.810,4,-O1,clang,20
694.913,4,-O1,clang,20
697.332,4,-O1,clang,20
684.283,4,-O1,clang,20
707.763,4,-O1,clang,20
703.513,4,-O1,clang,20
692.751,4,-O1,clang,20
691.504,4,-O1,clang,20
689.241,4,-O1,clang,20
693.705,4,-O1,clang,20
705.568,4,-O1,clang,20
715.499,4,-O1,clang,20
703.848,4,-O1,clang,20
710.941,4,-O1,clang,20
702.968,4,-O1,clang,20
688.082,4,-O1,clang,20
699.767,4,-O1,clang,20
693.232,4,-O1,clang,20
338.661,32,-O1,clang,15
336.097,32,-O1,clang,15
345.316,32,-O1,clang,15
347.571,32,-O1,clang,15
344.110,32,-O1,clang,15
346.704,32,-O1,clang,15
343.946,32,-O1,clang,15
345.797,32,-O1,clang,15
347.210,32,-O1,clang,15
348.529,32,-O1,clang,15
347.862,32,-O1,clang,15
346.502,32,-O1,clang,15
347.602,32,-O1,clang,15
346.948,32,-O1,clang,15
345.922,32,-O1,clang,15
128.349,108,-O1,clang,10
129.014,108,-O1,clang,10
128.642,108,-O1,clang,10
127.776,108,-O1,clang,10
128.094,108,-O1,clang,10
127.816,108,-O1,clang,10
129.064,108,-O1,clang,10
127.282,108,-O1,clang,10
128.202,108,-O1,clang,10
128.231,108,-O1,clang,10
38.655,256,-O1,clang,5
39.070,256,-O1,clang,5
38.585,256,-O1,clang,5
38.724,256,-O1,clang,5
39.027,256,-O1,clang,5
20.977,500,-O1,clang,2
21.045,500,-O1,clang,2
668.318,4,-O2,clang,20
683.580,4,-O2,clang,20
696.176,4,-O2,clang,20
706.248,4,-O2,clang,20
698.717,4,-O2,clang,20
709.910,4,-O2,clang,20
696.410,4,-O2,clang,20
705.690,4,-O2,clang,20
706.106,4,-O2,clang,20
693.557,4,-O2,clang,20
683.945,4,-O2,clang,20
710.455,4,-O2,clang,20
708.040,4,-O2,clang,20
709.345,4,-O2,clang,20
710.963,4,-O2,clang,20
709.627,4,-O2,clang,20
705.991,4,-O2,clang,20
710.888,4,-O2,clang,20
705.452,4,-O2,clang,20
698.176,4,-O2,clang,20
357.218,32,-O2,clang,15
352.219,32,-O2,clang,15
360.260,32,-O2,clang,15
354.521,32,-O2,clang,15
355.514,32,-O2,clang,15
358.900,32,-O2,clang,15
362.447,32,-O2,clang,15
361.389,32,-O2,clang,15
359.671,32,-O2,clang,15
355.213,32,-O2,clang,15
358.768,32,-O2,clang,15
358.354,32,-O2,clang,15
360.950,32,-O2,clang,15
358.084,32,-O2,clang,15
358.752,32,-O2,clang,15
126.977,108,-O2,clang,10
125.887,108,-O2,clang,10
125.623,108,-O2,clang,10
125.661,108,-O2,clang,10
128.116,108,-O2,clang,10
128.170,108,-O2,clang,10
128.435,108,-O2,clang,10
128.044,108,-O2,clang,10
127.397,108,-O2,clang,10
128.388,108,-O2,clang,10
38.629,256,-O2,clang,5
38.595,256,-O2,clang,5
38.749,256,-O2,clang,5
39.269,256,-O2,clang,5
38.521,256,-O2,clang,5
20.830,500,-O2,clang,2
20.528,500,-O2,clang,2
688.518,4,-O3,clang,20
711.750,4,-O3,clang,20
701.791,4,-O3,clang,20
700.688,4,-O3,clang,20
707.271,4,-O3,clang,20
716.903,4,-O3,clang,20
707.599,4,-O3,clang,20
711.823,4,-O3,clang,20
712.594,4,-O3,clang,20
706.811,4,-O3,clang,20
711.583,4,-O3,clang,20
713.911,4,-O3,clang,20
712.975,4,-O3,clang,20
703.269,4,-O3,clang,20
708.478,4,-O3,clang,20
689.435,4,-O3,clang,20
686.781,4,-O3,clang,20
715.266,4,-O3,clang,20
711.441,4,-O3,clang,20
709.645,4,-O3,clang,20
370.197,32,-O3,clang,15
370.441,32,-O3,clang,15
363.159,32,-O3,clang,15
366.276,32,-O3,clang,15
367.074,32,-O3,clang,15
365.221,32,-O3,clang,15
363.436,32,-O3,clang,15
366.582,32,-O3,clang,15
369.742,32,-O3,clang,15
362.468,32,-O3,clang,15
361.014,32,-O3,clang,15
362.870,32,-O3,clang,15
371.143,32,-O3,clang,15
370.551,32,-O3,clang,15
368.780,32,-O3,clang,15
137.394,108,-O3,clang,10
137.767,108,-O3,clang,10
136.723,108,-O3,clang,10
137.357,108,-O3,clang,10
137.507,108,-O3,clang,10
137.448,108,-O3,clang,10
135.794,108,-O3,clang,10
133.098,108,-O3,clang,10
132.722,108,-O3,clang,10
133.084,108,-O3,clang,10
39.985,256,-O3,clang,5
39.286,256,-O3,clang,5
40.032,256,-O3,clang,5
40.263,256,-O3,clang,5
40.922,256,-O3,clang,5
21.786,500,-O3,clang,2
21.846,500,-O3,clang,2
711.583,4,-Ofast,clang,20
719.942,4,-Ofast,clang,20
723.120,4,-Ofast,clang,20
725.818,4,-Ofast,clang,20
715.760,4,-Ofast,clang,20
699.355,4,-Ofast,clang,20
731.760,4,-Ofast,clang,20
723.337,4,-Ofast,clang,20
721.104,4,-Ofast,clang,20
730.206,4,-Ofast,clang,20
714.334,4,-Ofast,clang,20
721.080,4,-Ofast,clang,20
722.045,4,-Ofast,clang,20
730.261,4,-Ofast,clang,20
732.920,4,-Ofast,clang,20
721.969,4,-Ofast,clang,20
713.678,4,-Ofast,clang,20
739.739,4,-Ofast,clang,20
729.952,4,-Ofast,clang,20
700.563,4,-Ofast,clang,20
371.756,32,-Ofast,clang,15
377.708,32,-Ofast,clang,15
376.480,32,-Ofast,clang,15
378.033,32,-Ofast,clang,15
376.196,32,-Ofast,clang,15
375.071,32,-Ofast,clang,15
373.146,32,-Ofast,clang,15
373.233,32,-Ofast,clang,15
371.673,32,-Ofast,clang,15
373.391,32,-Ofast,clang,15
367.623,32,-Ofast,clang,15
365.946,32,-Ofast,clang,15
373.373,32,-Ofast,clang,15
368.646,32,-Ofast,clang,15
373.146,32,-Ofast,clang,15
139.433,108,-Ofast,clang,10
139.185,108,-Ofast,clang,10
139.672,108,-Ofast,clang,10
139.473,108,-Ofast,clang,10
140.445,108,-Ofast,clang,10
139.483,108,-Ofast,clang,10
139.595,108,-Ofast,clang,10
139.683,108,-Ofast,clang,10
138.895,108,-Ofast,clang,10
139.220,108,-Ofast,clang,10
41.250,256,-Ofast,clang,5
40.930,256,-Ofast,clang,5
40.491,256,-Ofast,clang,5
40.688,256,-Ofast,clang,5
40.657,256,-Ofast,clang,5
21.835,500,-Ofast,clang,2
21.724,500,-Ofast,clang,2
