particulas/s,N,opt,compiler,runs
261.437,4,-O0,gcc,20
179.524,4,-O0,gcc,20
189.488,4,-O0,gcc,20
199.314,4,-O0,gcc,20
177.142,4,-O0,gcc,20
186.393,4,-O0,gcc,20
177.313,4,-O0,gcc,20
198.771,4,-O0,gcc,20
186.991,4,-O0,gcc,20
198.710,4,-O0,gcc,20
174.623,4,-O0,gcc,20
198.850,4,-O0,gcc,20
199.055,4,-O0,gcc,20
185.361,4,-O0,gcc,20
213.728,4,-O0,gcc,20
188.650,4,-O0,gcc,20
215.043,4,-O0,gcc,20
187.476,4,-O0,gcc,20
263.705,4,-O0,gcc,20
191.533,4,-O0,gcc,20
67.849,32,-O0,gcc,15
66.588,32,-O0,gcc,15
67.811,32,-O0,gcc,15
72.888,32,-O0,gcc,15
68.901,32,-O0,gcc,15
66.914,32,-O0,gcc,15
68.796,32,-O0,gcc,15
73.013,32,-O0,gcc,15
68.706,32,-O0,gcc,15
73.049,32,-O0,gcc,15
72.747,32,-O0,gcc,15
68.822,32,-O0,gcc,15
72.855,32,-O0,gcc,15
70.050,32,-O0,gcc,15
67.553,32,-O0,gcc,15
25.493,108,-O0,gcc,10
25.406,108,-O0,gcc,10
25.726,108,-O0,gcc,10
25.701,108,-O0,gcc,10
25.479,108,-O0,gcc,10
25.716,108,-O0,gcc,10
25.537,108,-O0,gcc,10
25.752,108,-O0,gcc,10
25.668,108,-O0,gcc,10
25.733,108,-O0,gcc,10
13.612,256,-O0,gcc,5
13.656,256,-O0,gcc,5
13.685,256,-O0,gcc,5
13.744,256,-O0,gcc,5
13.742,256,-O0,gcc,5
7.996,500,-O0,gcc,2
8.019,500,-O0,gcc,2
441.998,4,-O1,gcc,20
278.040,4,-O1,gcc,20
303.657,4,-O1,gcc,20
335.265,4,-O1,gcc,20
323.210,4,-O1,gcc,20
304.199,4,-O1,gcc,20
304.798,4,-O1,gcc,20
319.460,4,-O1,gcc,20
295.239,4,-O1,gcc,20
266.614,4,-O1,gcc,20
314.026,4,-O1,gcc,20
292.893,4,-O1,gcc,20
322.197,4,-O1,gcc,20
289.489,4,-O1,gcc,20
318.074,4,-O1,gcc,20
288.653,4,-O1,gcc,20
313.995,4,-O1,gcc,20
279.640,4,-O1,gcc,20
316.112,4,-O1,gcc,20
264.094,4,-O1,gcc,20
167.589,32,-O1,gcc,15
129.092,32,-O1,gcc,15
136.885,32,-O1,gcc,15
165.260,32,-O1,gcc,15
137.994,32,-O1,gcc,15
163.691,32,-O1,gcc,15
142.199,32,-O1,gcc,15
164.292,32,-O1,gcc,15
143.414,32,-O1,gcc,15
162.242,32,-O1,gcc,15
145.949,32,-O1,gcc,15
163.645,32,-O1,gcc,15
144.881,32,-O1,gcc,15
141.618,32,-O1,gcc,15
160.515,32,-O1,gcc,15
49.900,108,-O1,gcc,10
49.655,108,-O1,gcc,10
49.668,108,-O1,gcc,10
49.753,108,-O1,gcc,10
49.470,108,-O1,gcc,10
49.684,108,-O1,gcc,10
49.826,108,-O1,gcc,10
44.114,108,-O1,gcc,10
49.551,108,-O1,gcc,10
49.527,108,-O1,gcc,10
25.341,256,-O1,gcc,5
25.550,256,-O1,gcc,5
25.637,256,-O1,gcc,5
25.545,256,-O1,gcc,5
25.481,256,-O1,gcc,5
14.700,500,-O1,gcc,2
14.791,500,-O1,gcc,2
303.250,4,-O2,gcc,20
324.898,4,-O2,gcc,20
335.678,4,-O2,gcc,20
334.772,4,-O2,gcc,20
345.887,4,-O2,gcc,20
361.987,4,-O2,gcc,20
345.401,4,-O2,gcc,20
360.642,4,-O2,gcc,20
333.658,4,-O2,gcc,20
361.180,4,-O2,gcc,20
281.034,4,-O2,gcc,20
360.643,4,-O2,gcc,20
360.627,4,-O2,gcc,20
358.974,4,-O2,gcc,20
320.075,4,-O2,gcc,20
328.156,4,-O2,gcc,20
296.127,4,-O2,gcc,20
309.199,4,-O2,gcc,20
360.481,4,-O2,gcc,20
343.694,4,-O2,gcc,20
147.709,32,-O2,gcc,15
164.025,32,-O2,gcc,15
160.003,32,-O2,gcc,15
202.906,32,-O2,gcc,15
173.559,32,-O2,gcc,15
172.618,32,-O2,gcc,15
202.714,32,-O2,gcc,15
168.417,32,-O2,gcc,15
173.100,32,-O2,gcc,15
204.371,32,-O2,gcc,15
170.309,32,-O2,gcc,15
202.055,32,-O2,gcc,15
177.332,32,-O2,gcc,15
204.721,32,-O2,gcc,15
171.115,32,-O2,gcc,15
62.635,108,-O2,gcc,10
62.300,108,-O2,gcc,10
60.877,108,-O2,gcc,10
61.604,108,-O2,gcc,10
61.595,108,-O2,gcc,10
61.826,108,-O2,gcc,10
61.509,108,-O2,gcc,10
61.005,108,-O2,gcc,10
61.889,108,-O2,gcc,10
62.218,108,-O2,gcc,10
33.644,256,-O2,gcc,5
33.413,256,-O2,gcc,5
33.393,256,-O2,gcc,5
33.318,256,-O2,gcc,5
33.371,256,-O2,gcc,5
19.872,500,-O2,gcc,2
19.751,500,-O2,gcc,2
457.533,4,-O3,gcc,20
317.303,4,-O3,gcc,20
329.532,4,-O3,gcc,20
363.121,4,-O3,gcc,20
361.932,4,-O3,gcc,20
309.508,4,-O3,gcc,20
362.741,4,-O3,gcc,20
312.870,4,-O3,gcc,20
360.467,4,-O3,gcc,20
316.067,4,-O3,gcc,20
361.028,4,-O3,gcc,20
362.394,4,-O3,gcc,20
310.131,4,-O3,gcc,20
360.033,4,-O3,gcc,20
307.317,4,-O3,gcc,20
360.345,4,-O3,gcc,20
325.752,4,-O3,gcc,20
327.808,4,-O3,gcc,20
358.481,4,-O3,gcc,20
289.251,4,-O3,gcc,20
209.852,32,-O3,gcc,15
175.181,32,-O3,gcc,15
204.080,32,-O3,gcc,15
202.760,32,-O3,gcc,15
201.940,32,-O3,gcc,15
162.961,32,-O3,gcc,15
206.042,32,-O3,gcc,15
206.401,32,-O3,gcc,15
204.825,32,-O3,gcc,15
206.081,32,-O3,gcc,15
207.046,32,-O3,gcc,15
205.101,32,-O3,gcc,15
166.786,32,-O3,gcc,15
205.155,32,-O3,gcc,15
204.029,32,-O3,gcc,15
62.895,108,-O3,gcc,10
61.905,108,-O3,gcc,10
61.506,108,-O3,gcc,10
62.230,108,-O3,gcc,10
62.508,108,-O3,gcc,10
61.786,108,-O3,gcc,10
62.063,108,-O3,gcc,10
61.769,108,-O3,gcc,10
62.179,108,-O3,gcc,10
61.415,108,-O3,gcc,10
33.369,256,-O3,gcc,5
33.185,256,-O3,gcc,5
32.944,256,-O3,gcc,5
33.123,256,-O3,gcc,5
32.837,256,-O3,gcc,5
20.055,500,-O3,gcc,2
20.010,500,-O3,gcc,2
265.185,4,-Ofast,gcc,20
340.346,4,-Ofast,gcc,20
347.447,4,-Ofast,gcc,20
335.713,4,-Ofast,gcc,20
353.359,4,-Ofast,gcc,20
331.034,4,-Ofast,gcc,20
355.972,4,-Ofast,gcc,20
323.703,4,-Ofast,gcc,20
312.345,4,-Ofast,gcc,20
313.223,4,-Ofast,gcc,20
345.181,4,-Ofast,gcc,20
343.759,4,-Ofast,gcc,20
351.605,4,-Ofast,gcc,20
351.752,4,-Ofast,gcc,20
358.605,4,-Ofast,gcc,20
369.061,4,-Ofast,gcc,20
390.816,4,-Ofast,gcc,20
358.482,4,-Ofast,gcc,20
388.851,4,-Ofast,gcc,20
353.389,4,-Ofast,gcc,20
230.202,32,-Ofast,gcc,15
178.048,32,-Ofast,gcc,15
191.552,32,-Ofast,gcc,15
183.960,32,-Ofast,gcc,15
187.185,32,-Ofast,gcc,15
222.756,32,-Ofast,gcc,15
183.813,32,-Ofast,gcc,15
220.266,32,-Ofast,gcc,15
225.988,32,-Ofast,gcc,15
224.366,32,-Ofast,gcc,15
186.055,32,-Ofast,gcc,15
224.630,32,-Ofast,gcc,15
184.793,32,-Ofast,gcc,15
188.943,32,-Ofast,gcc,15
231.139,32,-Ofast,gcc,15
65.699,108,-Ofast,gcc,10
66.219,108,-Ofast,gcc,10
66.829,108,-Ofast,gcc,10
65.927,108,-Ofast,gcc,10
66.362,108,-Ofast,gcc,10
66.748,108,-Ofast,gcc,10
66.018,108,-Ofast,gcc,10
66.409,108,-Ofast,gcc,10
66.213,108,-Ofast,gcc,10
66.200,108,-Ofast,gcc,10
34.281,256,-Ofast,gcc,5
34.295,256,-Ofast,gcc,5
34.300,256,-Ofast,gcc,5
34.179,256,-Ofast,gcc,5
34.357,256,-Ofast,gcc,5
20.935,500,-Ofast,gcc,2
20.928,500,-Ofast,gcc,2
157.635,4,-O0,clang,20
153.415,4,-O0,clang,20
151.352,4,-O0,clang,20
156.099,4,-O0,clang,20
160.921,4,-O0,clang,20
143.248,4,-O0,clang,20
161.031,4,-O0,clang,20
161.629,4,-O0,clang,20
169.922,4,-O0,clang,20
150.400,4,-O0,clang,20
146.510,4,-O0,clang,20
160.630,4,-O0,clang,20
157.627,4,-O0,clang,20
151.205,4,-O0,clang,20
160.477,4,-O0,clang,20
150.738,4,-O0,clang,20
152.692,4,-O0,clang,20
151.897,4,-O0,clang,20
