particulas/s,N,opt,compiler,runs
206.255,4,-O0,gcc,20
202.777,4,-O0,gcc,20
185.750,4,-O0,gcc,20
212.023,4,-O0,gcc,20
199.609,4,-O0,gcc,20
206.572,4,-O0,gcc,20
211.173,4,-O0,gcc,20
190.329,4,-O0,gcc,20
211.576,4,-O0,gcc,20
188.521,4,-O0,gcc,20
193.124,4,-O0,gcc,20
199.005,4,-O0,gcc,20
184.186,4,-O0,gcc,20
194.126,4,-O0,gcc,20
197.084,4,-O0,gcc,20
195.040,4,-O0,gcc,20
187.116,4,-O0,gcc,20
194.228,4,-O0,gcc,20
181.275,4,-O0,gcc,20
191.516,4,-O0,gcc,20
71.081,32,-O0,gcc,15
69.168,32,-O0,gcc,15
70.733,32,-O0,gcc,15
71.329,32,-O0,gcc,15
75.033,32,-O0,gcc,15
70.904,32,-O0,gcc,15
71.416,32,-O0,gcc,15
76.144,32,-O0,gcc,15
71.720,32,-O0,gcc,15
71.431,32,-O0,gcc,15
71.675,32,-O0,gcc,15
75.493,32,-O0,gcc,15
70.251,32,-O0,gcc,15
75.539,32,-O0,gcc,15
74.132,32,-O0,gcc,15
26.987,108,-O0,gcc,10
26.527,108,-O0,gcc,10
26.919,108,-O0,gcc,10
26.404,108,-O0,gcc,10
26.939,108,-O0,gcc,10
26.946,108,-O0,gcc,10
26.767,108,-O0,gcc,10
26.772,108,-O0,gcc,10
26.986,108,-O0,gcc,10
27.196,108,-O0,gcc,10
14.400,256,-O0,gcc,5
14.388,256,-O0,gcc,5
14.423,256,-O0,gcc,5
14.318,256,-O0,gcc,5
14.250,256,-O0,gcc,5
8.448,500,-O0,gcc,2
8.356,500,-O0,gcc,2
207.328,4,-O1,gcc,20
339.600,4,-O1,gcc,20
336.660,4,-O1,gcc,20
344.283,4,-O1,gcc,20
344.842,4,-O1,gcc,20
342.622,4,-O1,gcc,20
377.308,4,-O1,gcc,20
380.451,4,-O1,gcc,20
303.681,4,-O1,gcc,20
379.605,4,-O1,gcc,20
350.829,4,-O1,gcc,20
377.921,4,-O1,gcc,20
338.607,4,-O1,gcc,20
337.483,4,-O1,gcc,20
342.508,4,-O1,gcc,20
378.290,4,-O1,gcc,20
321.007,4,-O1,gcc,20
378.497,4,-O1,gcc,20
317.794,4,-O1,gcc,20
378.115,4,-O1,gcc,20
166.145,32,-O1,gcc,15
153.079,32,-O1,gcc,15
167.540,32,-O1,gcc,15
189.999,32,-O1,gcc,15
178.651,32,-O1,gcc,15
187.691,32,-O1,gcc,15
166.021,32,-O1,gcc,15
167.679,32,-O1,gcc,15
189.022,32,-O1,gcc,15
153.163,32,-O1,gcc,15
188.990,32,-O1,gcc,15
167.870,32,-O1,gcc,15
184.142,32,-O1,gcc,15
193.015,32,-O1,gcc,15
188.229,32,-O1,gcc,15
54.061,108,-O1,gcc,10
52.662,108,-O1,gcc,10
53.376,108,-O1,gcc,10
52.394,108,-O1,gcc,10
53.246,108,-O1,gcc,10
52.771,108,-O1,gcc,10
53.567,108,-O1,gcc,10
52.714,108,-O1,gcc,10
53.297,108,-O1,gcc,10
53.230,108,-O1,gcc,10
26.636,256,-O1,gcc,5
26.420,256,-O1,gcc,5
26.911,256,-O1,gcc,5
26.813,256,-O1,gcc,5
26.393,256,-O1,gcc,5
15.522,500,-O1,gcc,2
15.663,500,-O1,gcc,2
392.605,4,-O2,gcc,20
375.557,4,-O2,gcc,20
409.374,4,-O2,gcc,20
411.643,4,-O2,gcc,20
355.562,4,-O2,gcc,20
410.271,4,-O2,gcc,20
412.688,4,-O2,gcc,20
412.529,4,-O2,gcc,20
386.708,4,-O2,gcc,20
410.253,4,-O2,gcc,20
380.511,4,-O2,gcc,20
411.617,4,-O2,gcc,20
338.212,4,-O2,gcc,20
412.782,4,-O2,gcc,20
412.440,4,-O2,gcc,20
343.202,4,-O2,gcc,20
336.748,4,-O2,gcc,20
410.780,4,-O2,gcc,20
366.569,4,-O2,gcc,20
357.681,4,-O2,gcc,20
234.999,32,-O2,gcc,15
194.595,32,-O2,gcc,15
254.665,32,-O2,gcc,15
192.750,32,-O2,gcc,15
253.212,32,-O2,gcc,15
196.460,32,-O2,gcc,15
254.438,32,-O2,gcc,15
247.707,32,-O2,gcc,15
245.643,32,-O2,gcc,15
206.093,32,-O2,gcc,15
252.462,32,-O2,gcc,15
197.202,32,-O2,gcc,15
251.328,32,-O2,gcc,15
251.107,32,-O2,gcc,15
206.764,32,-O2,gcc,15
72.517,108,-O2,gcc,10
70.541,108,-O2,gcc,10
68.743,108,-O2,gcc,10
70.860,108,-O2,gcc,10
70.260,108,-O2,gcc,10
70.483,108,-O2,gcc,10
69.995,108,-O2,gcc,10
70.647,108,-O2,gcc,10
70.448,108,-O2,gcc,10
70.678,108,-O2,gcc,10
35.770,256,-O2,gcc,5
35.459,256,-O2,gcc,5
35.913,256,-O2,gcc,5
35.474,256,-O2,gcc,5
35.505,256,-O2,gcc,5
21.640,500,-O2,gcc,2
21.493,500,-O2,gcc,2
349.730,4,-O3,gcc,20
346.416,4,-O3,gcc,20
349.104,4,-O3,gcc,20
349.268,4,-O3,gcc,20
415.203,4,-O3,gcc,20
369.153,4,-O3,gcc,20
414.579,4,-O3,gcc,20
376.708,4,-O3,gcc,20
414.404,4,-O3,gcc,20
346.245,4,-O3,gcc,20
413.003,4,-O3,gcc,20
365.325,4,-O3,gcc,20
413.365,4,-O3,gcc,20
333.132,4,-O3,gcc,20
337.695,4,-O3,gcc,20
414.856,4,-O3,gcc,20
372.710,4,-O3,gcc,20
411.089,4,-O3,gcc,20
340.231,4,-O3,gcc,20
346.141,4,-O3,gcc,20
254.031,32,-O3,gcc,15
214.537,32,-O3,gcc,15
190.250,32,-O3,gcc,15
195.329,32,-O3,gcc,15
204.717,32,-O3,gcc,15
204.957,32,-O3,gcc,15
201.109,32,-O3,gcc,15
265.639,32,-O3,gcc,15
250.271,32,-O3,gcc,15
205.945,32,-O3,gcc,15
250.667,32,-O3,gcc,15
249.897,32,-O3,gcc,15
249.367,32,-O3,gcc,15
208.306,32,-O3,gcc,15
255.299,32,-O3,gcc,15
72.773,108,-O3,gcc,10
71.544,108,-O3,gcc,10
71.145,108,-O3,gcc,10
72.068,108,-O3,gcc,10
71.612,108,-O3,gcc,10
71.658,108,-O3,gcc,10
71.798,108,-O3,gcc,10
72.055,108,-O3,gcc,10
70.896,108,-O3,gcc,10
71.960,108,-O3,gcc,10
35.368,256,-O3,gcc,5
34.946,256,-O3,gcc,5
35.505,256,-O3,gcc,5
35.256,256,-O3,gcc,5
35.599,256,-O3,gcc,5
21.633,500,-O3,gcc,2
21.121,500,-O3,gcc,2
564.370,4,-Ofast,gcc,20
400.530,4,-Ofast,gcc,20
386.676,4,-Ofast,gcc,20
362.841,4,-Ofast,gcc,20
436.132,4,-Ofast,gcc,20
366.249,4,-Ofast,gcc,20
361.417,4,-Ofast,gcc,20
353.010,4,-Ofast,gcc,20
