particulas/s,N,opt,compiler,runs
171.061,4,-O0,gcc,20
191.373,4,-O0,gcc,20
196.257,4,-O0,gcc,20
199.468,4,-O0,gcc,20
201.115,4,-O0,gcc,20
201.449,4,-O0,gcc,20
209.252,4,-O0,gcc,20
194.897,4,-O0,gcc,20
196.767,4,-O0,gcc,20
201.140,4,-O0,gcc,20
209.690,4,-O0,gcc,20
195.457,4,-O0,gcc,20
210.499,4,-O0,gcc,20
193.853,4,-O0,gcc,20
205.387,4,-O0,gcc,20
198.070,4,-O0,gcc,20
211.208,4,-O0,gcc,20
195.620,4,-O0,gcc,20
208.957,4,-O0,gcc,20
211.368,4,-O0,gcc,20
75.251,32,-O0,gcc,15
70.049,32,-O0,gcc,15
69.182,32,-O0,gcc,15
70.681,32,-O0,gcc,15
75.138,32,-O0,gcc,15
71.922,32,-O0,gcc,15
71.235,32,-O0,gcc,15
68.845,32,-O0,gcc,15
76.225,32,-O0,gcc,15
69.551,32,-O0,gcc,15
70.321,32,-O0,gcc,15
75.634,32,-O0,gcc,15
69.415,32,-O0,gcc,15
76.099,32,-O0,gcc,15
70.379,32,-O0,gcc,15
26.785,108,-O0,gcc,10
26.604,108,-O0,gcc,10
26.412,108,-O0,gcc,10
26.677,108,-O0,gcc,10
26.368,108,-O0,gcc,10
26.401,108,-O0,gcc,10
26.539,108,-O0,gcc,10
26.389,108,-O0,gcc,10
26.621,108,-O0,gcc,10
26.408,108,-O0,gcc,10
14.321,256,-O0,gcc,5
14.409,256,-O0,gcc,5
14.204,256,-O0,gcc,5
14.210,256,-O0,gcc,5
14.327,256,-O0,gcc,5
8.409,500,-O0,gcc,2
8.467,500,-O0,gcc,2
274.721,4,-O1,gcc,20
331.987,4,-O1,gcc,20
332.781,4,-O1,gcc,20
374.810,4,-O1,gcc,20
332.552,4,-O1,gcc,20
371.999,4,-O1,gcc,20
357.092,4,-O1,gcc,20
313.274,4,-O1,gcc,20
328.836,4,-O1,gcc,20
371.920,4,-O1,gcc,20
321.992,4,-O1,gcc,20
371.885,4,-O1,gcc,20
374.572,4,-O1,gcc,20
346.442,4,-O1,gcc,20
372.566,4,-O1,gcc,20
343.539,4,-O1,gcc,20
371.789,4,-O1,gcc,20
374.299,4,-O1,gcc,20
359.016,4,-O1,gcc,20
372.670,4,-O1,gcc,20
183.695,32,-O1,gcc,15
161.516,32,-O1,gcc,15
165.917,32,-O1,gcc,15
157.233,32,-O1,gcc,15
193.349,32,-O1,gcc,15
177.549,32,-O1,gcc,15
188.668,32,-O1,gcc,15
162.233,32,-O1,gcc,15
198.656,32,-O1,gcc,15
167.161,32,-O1,gcc,15
