particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
387.495,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7576390,0.012,139271,832
395.819,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,4594095,0.012,80136,550
395.847,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,5334570,0.012,80135,624
395.267,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,6737403,0.012,84318,630
395.354,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,1358904,0.012,80205,510
399.938,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,94065,528
400.295,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8355231,0.012,84663,638
399.734,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,94700,700
401.437,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,82379,498
392.352,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7591466,0.012,89067,820
397.761,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,6269261,0.012,81127,752
401.313,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,6105047,0.012,82792,540
398.477,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8187279,0.012,81730,705
398.762,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8429761,0.012,90214,803
400.296,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7221152,0.011,78030,589
399.824,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,87672,537
399.553,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7123600,0.012,78249,566
400.097,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7588491,0.012,84906,807
400.763,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7582163,0.012,78840,576
401.414,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,8415942,0.012,88011,583
396.958,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,93771,609
397.839,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,91071,629
400.461,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,0,0.012,82724,457
400.993,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,3566670,0.012,81957,698
402.004,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,7638164,0.012,78711,596
398.582,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,30,4615146,0.012,79493,566
