particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
161.026,4000,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,2414938860630,24.846,31109937500,2450195
142.666,5324,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,4233500658749,37.323,60509426081,2352131
123.887,6912,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,7072359901033,55.799,106140436821,3085131
107.378,8788,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,11369175022711,81.849,175071161186,2256834
93.269,10976,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,17656423737371,117.691,275201121185,9882243
81.096,13500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,26615002883980,166.480,419414020233,5213540
70.460,16384,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,39118175199445,232.542,616337239377,67437987
61.355,19652,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,56164453931398,320.317,885418984263,8238114
53.564,23328,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,79023537086275,435.546,1246094157136,191388867
46.665,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,2,40,109168858583207,587.966,1720656028819,140711935
46.733,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,2,40,109164533363041,587.131,1722915163388,13166431
304.990,4000,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,2225673416733,13.120,31097020706,1321189
274.581,5324,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,3911528198379,19.394,60330616539,2057200
237.158,6912,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,6559838514987,29.150,105950257542,2695295
205.660,8788,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,10569111527838,42.737,174500885219,1671677
178.485,10976,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,16438878725085,61.502,274745527210,7825115
156.023,13500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,24819954753325,86.534,416746230419,4782183
134.690,16384,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,36512818137757,121.653,613981528115,6506889
116.045,19652,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,52460494108073,169.361,883029116375,6870375
101.820,23328,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,73855642866089,229.127,1243851969655,171417374
87.461,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,2,40,102059470221839,313.717,1718501509590,244360035
