particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
7.232,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9955266,0.557,28718341,41137
6.441,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9954456,0.625,28890313,30263
5.850,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9937187,0.687,31662440,36683
5.946,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9684917,0.676,28692012,28713
5.718,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,10108140,0.703,29454931,40685
5.402,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9799061,0.744,60286058,38634
6.170,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9977617,0.652,43128200,33293
6.526,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9799992,0.617,47013477,28267
5.718,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,10032852,0.703,48866836,36502
7.313,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9821618,0.551,27739386,36939
8.402,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,10133298,0.480,26139982,22747
6.238,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9988054,0.645,28648038,39029
4.714,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9760786,0.852,76944236,43000
5.955,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9794150,0.676,30123169,26602
8.228,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9821310,0.490,45232746,35559
7.387,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9832705,0.545,27311876,34766
5.648,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9796496,0.712,32752932,32879
5.284,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,10110771,0.761,56159709,37448
7.363,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9542173,0.547,27913004,35690
5.835,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,10019231,0.689,52690821,33308
5.221,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9999682,0.770,36758704,34615
5.991,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,10111222,0.672,41888086,29877
7.565,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9953496,0.532,28384562,28958
6.249,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9858759,0.644,30004579,36586
8.722,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9907563,0.462,27023475,25277
4.824,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9835197,0.833,37979572,38796
7.366,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9665436,0.546,33597778,36330
6.409,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9659583,0.627,30401935,43571
6.050,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9802353,0.665,30356218,37638
7.650,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,30,40,9910125,0.527,54784689,28934
34.830,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,660747476,0.923,44251925,37487
43.456,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,661709105,0.740,40699001,23583
