particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
298.518,4000,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
310.411,5324,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
320.870,6912,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
316.301,8788,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
315.353,10976,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
309.852,13500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
296.919,16384,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
290.174,19652,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
256.745,23328,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
233.920,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,,,
291.325,4000,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
307.759,5324,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
309.957,6912,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
312.947,8788,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
312.959,10976,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
307.906,13500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
294.416,16384,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
273.887,19652,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
253.752,23328,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
240.166,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,,,
