particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
35.012,4000,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,114.245509,,
62.617,5324,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,85.024706,,
76.085,6912,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,90.845873,,
140.836,8788,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,62.398677,,
283.354,10976,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,38.735980,,
239.855,13500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,56.283958,,
202.190,16384,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,81.032631,,
177.410,19652,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,110.771387,,
151.656,23328,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,153.821320,,
129.185,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,1,,212.377960,,
373.667,4000,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,10.704712,,
388.414,5324,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,13.707025,,
376.821,6912,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,18.342937,,
343.238,8788,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,25.603222,,
295.715,10976,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,37.116778,,
244.300,13500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,55.259956,,
204.027,16384,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,80.303216,,
175.974,19652,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,111.675353,,
151.345,23328,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,154.137942,,
130.934,27436,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,1,1,,209.540457,,
